,Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
1454,Toyota,2018,Camry,Sedan,2018 Toyota Camry Ascent,USED,Automatic,2.5,Front,Unleaded,7.8,81518,Silver / Black,"Minchinbury, NSW",4,Sedan,4,5,27995
1455,Hyundai,2015,I30,Hatchback,2015 Hyundai I30 Active X,USED,Automatic,1.8,Front,Unleaded,7.1,79645,Red / -,"Concord, NSW",4,Hatchback,5,5,17990
1456,Subaru,2018,Outback,SUV,2018 Subaru Outback 3.6R,USED,Automatic,3.6,AWD,Unleaded,9.9,52658,White / -,"Blacktown, NSW",6,SUV,4,5,39999
1457,Kia,2021,Stonic,SUV,2021 Kia Stonic S,USED,Automatic,1.4,Front,Unleaded,6.7,16200,Red / Grey,"Arncliffe, NSW",4,SUV,4,5,22990
1458,Hyundai,2016,Iload,Commercial,2016 Hyundai Iload,USED,Automatic,2.5,Rear,Diesel,8.8,109153,White / -,"Smithfield, NSW",4,Commercial,4,3,24800
1459,Audi,2019,A3,Other,2019 Audi A3 35 Tfsi S Line Plus,USED,Automatic,1.4,Front,Premium,5.2,73164,White / -,"Artarmon, NSW",4,Other,4,5,31800
1460,Hyundai,2019,Accent,Hatchback,2019 Hyundai Accent Sport,USED,Manual,1.6,Front,Unleaded,6.3,103880,Grey / Black,"Five Dock, NSW",4,Hatchback,5,5,13999
1461,Mazda,2018,CX-9,SUV,2018 Mazda CX-9 GT (fwd),USED,Automatic,2.5,Front,Unleaded,8.4,14732,Red / -,"Mosman, NSW",4,SUV,4,7,46990
1462,Toyota,2022,RAV4,SUV,2022 Toyota RAV4 GX (awd) Hybrid,USED,Automatic,2.5,AWD,Hybrid,4.8,23212,White / Black,"Castle Hill, NSW",4,SUV,5,5,56990
1463,Toyota,2020,Yaris,SUV,2020 Toyota Yaris Cross GX Hybrid,USED,Automatic,1.5,Front,Hybrid,3.8,56859,White / -,"Blacktown, NSW",3,SUV,4,5,32777
1464,Suzuki,2021,Baleno,Hatchback,2021 Suzuki Baleno GL,USED,Automatic,1.4,Front,Unleaded,5.4,16615,Grey / Black,"Penrith, NSW",4,Hatchback,4,5,21888
1465,Mazda,2020,CX-5,SUV,2020 Mazda CX-5 Touring (4X4),USED,Automatic,2.5,AWD,Unleaded,7.5,61227,Blue / Black,"Brookvale, NSW",4,SUV,4,5,33990
1466,Toyota,2021,Corolla,Hatchback,2021 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,1.8,Front,Hybrid,4.2,44200,White / -,"Liverpool, NSW",4,Hatchback,5,5,32888
1467,Ford,2019,Ranger,Ute / Tray,2019 Ford Ranger Wildtrak 3.2 (4X4),USED,Automatic,3.2,4WD,Diesel,8.9,131554,White / Black,"Epping, VIC",5,Ute / Tray,4,5,50705
1468,Holden,2014,Colorado,Ute / Tray,2014 Holden Colorado LS (4X2),USED,Automatic,2.8,Rear,Diesel,8.8,147106,White / -,"Morayfield, QLD",4,Ute / Tray,2,2,22990
1469,Mitsubishi,2019,Triton,Ute / Tray,2019 Mitsubishi Triton GLX Adas,USED,Automatic,2.4,Rear,Diesel,7.5,87740,White / -,"Sylvania, NSW",4,Ute / Tray,4,5,31950
1470,MG,2022,HS,Alto North Shore MG,2022 MG HS Excite,NEW,Automatic,1.5,Front,Unleaded,7.3,9,Black / Knight Black,"Artarmon, NSW",4,SUV,4,5,34868
1471,Renault,2022,Koleos,SUV,2022 Renault Koleos Intens (4X2),USED,Automatic,2.5,Front,Unleaded,8.1,6530,White / Black,"Castle Hill, NSW",4,SUV,4,5,39990
1472,Lexus,2010,IS250,Sedan,2010 Lexus IS250 Sports Luxury,USED,Automatic,2.5,Rear,Premium,9.7,330147,Silver / -,"Minchinbury, NSW",6,Sedan,4,5,5999
1473,Hyundai,2010,Imax,Wagon,2010 Hyundai Imax,USED,Automatic,2.4,Rear,Premium,10.6,211824,White / Grey Cloth,"Elderslie, NSW",4,Wagon,4,8,12999
1474,Mazda,2023,CX-9,Rockdale Mazda New,2023 Mazda CX-9 Azami (awd),NEW,Automatic,2.5,AWD,Unleaded,8.8,7,White / Walnut Brown Nappa Leather,"Arncliffe, NSW",4,SUV,4,7,78288
1475,Mitsubishi,2011,Challenger,SUV,2011 Mitsubishi Challenger XLS (5 Seat) (4X4),USED,Automatic,2.5,4WD,Diesel,9.8,190936,Silver / -,"Enfield, SA",4,SUV,4,5,17990
1476,Holden,2015,Colorado,Ute / Tray,2015 Holden Colorado Z71 (4X4),USED,Automatic,2.8,4WD,Diesel,9.1,157767,Black / Grey,"Greenacre, NSW",4,Ute / Tray,4,5,32800
